take a break | take | take | VERB_NOUN | nghỉ giải lao | Take a break now and let your stress melt away! | Vui lòng nghỉ giải lao và để căng thẳng tan biến. | make,do,get
strong evidence | strong | strong | ADJ_NOUN | bằng chứng mạnh mẽ | Doctors now have strong evidence that colonoscopies save lives. | Các bác sĩ hiện có bằng chứng mạnh mẽ rằng nội soi đại tràng cứu sống người bệnh. | big,great,heavy
strong contrast | strong | strong | ADJ_NOUN | sự tương phản mạnh | Chiaroscuro in art is the use of strong contrasts between light and dark. | Trong nghệ thuật, sự tương phản mạnh tạo ra khác biệt rõ giữa sáng và tối. | big,great,heavy
strong commitment | strong | strong | ADJ_NOUN | cam kết mạnh mẽ | The boss noticed her strong commitment to her work. | Ông chủ nhận thấy cô ấy có cam kết mạnh mẽ với công việc. | big,great,heavy
strong criticism | strong | strong | ADJ_NOUN | sự chỉ trích nặng nề | Vinnie has faced some strong criticism from Vietnam lately. | Vinnie gần đây phải đối mặt với sự chỉ trích nặng nề từ Việt Nam. | big,great,heavy
a strong denial | strong | strong | ADJ_NOUN | sự phủ nhận mạnh mẽ | The government has issued a strong denial of responsibility for the mistake. | Chính phủ đã đưa ra sự phủ nhận mạnh mẽ về trách nhiệm đối với sai lầm. | big,great,heavy
a strong feeling | strong | strong | ADJ_NOUN | cảm giác mạnh | I have a strong feeling that I was born in the wrong body. | Tôi có cảm giác mạnh rằng mình đã sinh nhầm cơ thể. | big,great,heavy
a strong opinion | strong | strong | ADJ_NOUN | ý kiến mạnh mẽ | Vinnie has a strong opinion on almost every topic. | Vinnie có ý kiến mạnh mẽ về hầu hết mọi chủ đề. | big,great,heavy
strong resistance | strong | strong | ADJ_NOUN | sự kháng cự mạnh | Durian has a strong smell and a unique taste. a strong taste một mùi vịmạnh mẽ Fish sauce has a strong taste and smell bad. | Việt Nam thể hiện sự kháng cự mạnh mẽ. | big,great,heavy
a strong smell | strong | strong | ADJ_NOUN | mùi nồng | Durian has a strong smell and a unique taste. | Quả sầu riêng có mùi nồng và hương vị đặc trưng. | big,great,heavy
come complete with | come | come | VERB_PREP | đi kèm đầy đủ | Our machines come complete with a ten-year warranty. | Máy móc của chúng tôi đi kèm đầy đủ với bảo hành mười năm. | go,ship,arrive
